tool,id,status,outcome,outputBytes,outputSha256,errorCode
into-0.0.4-off,135590f0bd2df9e2,success,degraded,484,c48c2e6de299d2bc059cb98c0a7cc859fffdc00734b11d672ede10b1c8f30b0b,feed.html.parseRecovered
into-0.0.4-off,78f02f205f0cee24,success,complete,293,b2000c2a32c8f98201413a4a44c28d958d7f71d61e0b3fde18a371ea11dce24e,
into-0.0.4-off,98c3e7e1af895a72,success,complete,45,e305ff5b617fbb375bcba3340ee8b0eed452c649fa8458244c97cd913e927399,
into-0.0.4-off,10d68b26ee567c4b,success,complete,1555,5bb1ba344e1d9f2540b33404e2cc5b6bed417329eb16d2762bdbb2c61c789b2b,
into-0.0.4-off,5cf35c4c4c68bb8c,success,complete,15214,7916c9621e562b5df2561dd912d2847ac0b4f967ee8bef3c261d4b31a691a329,
into-0.0.4-off,787b5ca7ef14a176,success,complete,44002,7a62032276e88966704b1942e0c2d839da779da66ec6219a6a8339a9e9fed08c,
into-0.0.4-off,829ad66828d10cde,success,complete,424,eb56362cec7b105ed2a071de8413b98eac32747f49879127107c6c781b357026,
into-0.0.4-off,b8506ae94005fe35,success,complete,1406091,c9cddb4c95c5a73f4d87bc30f684eb21bbc8cbc300a56e92214035125a85ae85,
into-0.0.4-off,e387041f3e3d83cc,success,complete,164937,6a6f9354a740c8c73299642c6a1acf7c614efe84e099ab40f5fdb61619bcd1fa,
into-0.0.4-off,e5753863c0a974ff,success,complete,6057871,2678f568c65bbdc6ff136f5e8f7d186d3a7868ae036bd818c7bae0830bff32dc,
into-0.0.4-off,0e402beda3aca811,failed,failed,0,,max_table_rows
into-0.0.4-off,a2b61fcdd11b3125,failed,failed,0,,max_table_rows
into-0.0.4-off,09bfc946c0439d95,failed,failed,0,,malformed
into-0.0.4-off,253e374836b58e05,failed,failed,0,,malformed
into-0.0.4-off,371d7bf4257c8cb4,failed,failed,0,,noConverter
into-0.0.4-off,565f4edb8b3fdfca,success,degraded,66,72935f2d580ec0e82141336a515c490f7f7438059a4ad49c03f0073d9382ed65,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,59c1e6b04287a085,failed,failed,0,,malformed
into-0.0.4-off,5b8752ca7b4ba0d4,failed,failed,0,,malformed
into-0.0.4-off,6c39431d946e796e,failed,failed,0,,malformed
into-0.0.4-off,6cfde658b8521913,success,degraded,15,6e87aa730fc6c9cf2f102e894e80cf7fcee4847b607971d99bc294cd3cf641f7,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,6d67b1c5d3047aaa,failed,failed,0,,malformed
into-0.0.4-off,7a4d74952752745a,failed,failed,0,,malformed
into-0.0.4-off,8547e08203660fdf,failed,failed,0,,malformed
into-0.0.4-off,938a81486e97448c,failed,failed,0,,malformed
into-0.0.4-off,9a89dbeb9bd7e83f,success,degraded,15,6e87aa730fc6c9cf2f102e894e80cf7fcee4847b607971d99bc294cd3cf641f7,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,a1e6fcc55555e227,success,degraded,5,f2ca1bb6c7e907d06dafe4687e579fce76b37e4e93b7605022da52e6ccc26fd2,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,b17ac3cb610cbfff,failed,failed,0,,malformed
into-0.0.4-off,b35fb9c88753615c,success,degraded,22,bfae0461c763bb45b98b9dd7d5757456369d99289b93dd73b198349b28fea2b6,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,01aace2d5ac77e22,success,degraded,585,279b6fad05d1fde4488531662f32c97508e8ac188c250f9381af975fffee939e,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,172975a20c33fe14,failed,failed,0,,malformed
into-0.0.4-off,1ec78001e398396c,success,degraded,364,54f7c46ee773053ad8b75d408bf2684ccc090320d8589e3c1f45aa46cef52a73,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,2ddd77eaa014783f,success,degraded,2,c04b5bb1a5b2eb3e9cd4805420dba5a9d133da5b7adeeafb5474c4adae9faa80,legacyOffice.doc.fieldInstructionSkipped
into-0.0.4-off,34be0aa78022d53a,failed,failed,0,,malformed
into-0.0.4-off,3e4d7f835425454e,success,degraded,85,c410053f91419e241c58239c05da0aab454bcb0b3d9b3c4e980832da946ae518,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,4ca259dc2f142e3a,failed,failed,0,,noConverter
into-0.0.4-off,517ab4768e80cdcf,success,degraded,47,290ae12772e440915e543401bfb16282b722ca9fd6c729a2917f9372d578aa27,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,79e147d6f9701d70,failed,failed,0,,malformed
into-0.0.4-off,7bb4148144469f10,success,degraded,8,2dbb4a503f1515636b6a54e7f5b1a8ccfddcb62f0571c8b57a2879c360d00346,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,9f6668fd6684af25,success,degraded,15,4fc57da5ab33097e3f3a2707d211346b1d178a4d4ba51f1515c340b55f0e1ca8,legacyOffice.doc.fieldInstructionSkipped
into-0.0.4-off,bb85e93a34d3052c,success,degraded,98,4bca13bea0575d14997ad14df1be31e0f6a098769c24ca3043659e2d7d8ebbb6,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,d348e245a8bef843,failed,failed,0,,malformed
into-0.0.4-off,d91f8c0be94c87df,success,degraded,65,bc7ef503d14db4409112337913f95a54e3d6430512c564e68229a57c251517f3,legacyOffice.doc.fieldInstructionSkipped
into-0.0.4-off,db39a39983f99bd0,success,degraded,195,c59870192559437ce50ffb3c0a26ba67b8e12b7dbc1341f287309f0dffde74a1,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,e83201d239852dd2,success,degraded,150,e30834c6e4cb6f13626456b2f090cb918d89dae9586147cfcfbca8c44c1452b3,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,01aef67dac016e76,failed,failed,0,,malformed
into-0.0.4-off,02a9d7f2541a29aa,failed,failed,0,,malformed
into-0.0.4-off,26d3752c623eee0b,failed,failed,0,,malformed
into-0.0.4-off,784d5c760bc08262,failed,failed,0,,malformed
into-0.0.4-off,826361c6ed7db899,success,degraded,19,6b89e9cee03b431eca10923ed35d29b548401c33c794551e624a7cafbaac4c2d,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,83237de271e446e6,failed,failed,0,,malformed
into-0.0.4-off,9ff3cdeec3eb4c15,success,degraded,794,d935fa7d6c87dd90f70084694c43cc55b8f61035ad94da2ffb0d1648ff6b9881,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,ac9840b6c315a299,failed,failed,0,,encrypted
into-0.0.4-off,b7e9485a99a2ef71,failed,failed,0,,malformed
into-0.0.4-off,b95628250affc4ca,failed,failed,0,,malformed
into-0.0.4-off,ced4b9d0d3dec409,success,degraded,781,c388b9b25fab9ecb5a819640f1fec8693360edaea56084b225a27f46e28cd628,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,d4c8af69e1f7be19,success,degraded,89,74410afdf054e1df9c411864f62fec08f5b62485058200b4369ed209ae43636f,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,db73b4ce4ef4ed37,success,degraded,184,b8dff286123f0bcbdd75e918627415216c41f36febd0c36b3a2fcdc98a9a83e8,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,e5afb68a0b77ecba,failed,failed,0,,malformed
into-0.0.4-off,e700bb0d924ba953,failed,failed,0,,malformed
into-0.0.4-off,fce0edcdc735f7c4,success,degraded,14,4bae7b8d81d5fc7d0f062d2755c6987dfa6884540dd80b95c7c39d6d96a97518,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,284b8212152c362f,failed,failed,0,,emptyContent
into-0.0.4-off,399289ad0c242875,success,degraded,44,c03905fcdab297513a620ec81ed46ca44ddb62d41cbbd83eb4a5a3592be26a69,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,3f2675fec1f4697c,failed,failed,0,,encrypted
into-0.0.4-off,4379b835206794ef,success,degraded,241,90ce592adeb30f99a32efb4cff99319190ddb8dcf8cc26c5fd46e4cbc355f904,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,43ebc3e0fc3a3dbc,failed,failed,0,,emptyContent
into-0.0.4-off,4adedc311719dfa9,success,degraded,22,33a46a2afe401acbc990c6671b549d3646c7534a4b9cd2bc5dfc4eb0eda56d7e,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,5f1df9c47e8347f9,success,degraded,16,c85898d50324a9cf753e4bbbf192a8fefda9ebe2d369ace769f99ab26d82f390,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,5f64c23fe4d4ebc8,success,degraded,17,29e33b6c93203fb5333c1ad16bbf732a25d8120509defdbfab9c412508691f46,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,709ec5804c94a618,success,degraded,7,e5ce4d21e7300ab8106d6c96e1464ae69124eb34371436b5bae6cc920cbdc6a0,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,70a9db06e1ce3740,failed,failed,0,,malformed
into-0.0.4-off,95715c9a6869a3fe,success,degraded,1402,4015d2e83781052df95ac63be0e950e4891102560e4351f5f599daa64c88421b,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,a15949882049b10e,failed,failed,0,,encrypted
into-0.0.4-off,cab5b8df9b4c6da8,failed,failed,0,,malformed
into-0.0.4-off,ed58eeb1e6f3815a,success,degraded,149,620af49d8009614561da983dc105684778fcb7132a8014b39b57ff91afb24e7f,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,f467e28da02eab5d,success,degraded,7,e5ce4d21e7300ab8106d6c96e1464ae69124eb34371436b5bae6cc920cbdc6a0,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,faa895edd22b6e45,success,degraded,21,081c171f3f7ae3c893b4efc0fbe2decebafe23af5b28fa6c281337a72acf6a19,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,0136915d61d4aac8,success,degraded,900,b4dc60c3546c03578b6051eaf4953f8ad87b5e9bb731863e275b17be0f523999,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,04753821ddc08e49,success,degraded,83,f19ea070a34800d3becf1e2ee81c9548322aec47dd7ff0b4e05d2b0b0294ba6c,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,13cb17a0ed9e712b,success,degraded,124,1a5c151789f5fb931c591891fdb9c2b179dbf2e0b21212fb767701d4630dd133,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,17f92ef4ad43b607,success,degraded,236,acfea5c78f31d28908f65a9158d49b43dfc50fd30bba796431ada35dacab268f,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,4bc8b94767f72f8a,failed,failed,0,,malformed
into-0.0.4-off,53794037a9f5d393,success,degraded,20,ecf2226c305d96fb73a844cf9e0f596ea73fd725d56239860e6a5f74391b9585,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,5ba9889f9e88f4a4,success,degraded,182,fa8054c0661d1430866848435ecc71ba4f34b06e5cc3892bf55f2f2599180d52,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,63cf8546781e1368,success,degraded,8,4d11e7da6c141f7eaa832251f5ef72cd30c759b8d61fc00471223233b79d6a3f,legacyOffice.doc.fieldInstructionSkipped
into-0.0.4-off,806d908d4f3f1af6,success,degraded,11,6d4be94dc7526636b775f70db8acd3583f81d2e3a6d39343d6cf80589c18666b,legacyOffice.doc.fieldInstructionSkipped
into-0.0.4-off,8de2c2b3831025fd,success,degraded,19,12580e479a69f7a192a32612b9b3e4a4c9f55756cc13e1ef40e7a3c5e4b0493e,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,a5e005d472465c97,success,degraded,3,14d2ae736847f3af712da98750aeba7e0f476e6cc9fc87624d8ba4c526fabd38,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,c34a160c8b4343af,success,degraded,2,c04b5bb1a5b2eb3e9cd4805420dba5a9d133da5b7adeeafb5474c4adae9faa80,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,c9e469fda5634d01,success,degraded,165,0b84c00e43ce09ea543433b1e68feac35249d6c2c59cb6e7b9220969a97a1f5a,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,ed43637c0a12a7bd,failed,failed,0,,malformed
into-0.0.4-off,f813763b71594e99,success,degraded,2,c04b5bb1a5b2eb3e9cd4805420dba5a9d133da5b7adeeafb5474c4adae9faa80,legacyOffice.doc.imagePlacementRecovered
into-0.0.4-off,fe2b3c5be5038b75,success,degraded,30,5a69eb071333061235df3afbfca1f1e9e2feb1aa24e9093ca3ebcd94153dd829,legacyOffice.doc.imagePlacementRecovered
into-0.0.4-off,0330d6d0cab6f3a8,failed,failed,0,,emptyContent
into-0.0.4-off,5721b34c70e774cf,success,degraded,37,e497be1a2d02e3c0d12519e1e8bddcf221a53a50641514613d1c6802059d2804,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,5dc989adae9e0978,failed,failed,0,,malformed
into-0.0.4-off,781f55312f393b39,success,degraded,31,ec5528ad547abe4a200f90d43ca7e1d774b959531e98728a86cfdec619356b66,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,79c7937a137424b3,success,degraded,97,c12edcb7cc3aaab96bc655c5023295c75e0a8fc2a1e0b37a522b7db5ad5659ad,legacyOffice.doc.fieldInstructionSkipped
into-0.0.4-off,7f16bf70cc885c48,success,degraded,2216,d807a7e240fdbb563b7e9d8c20439c8a97a3beb796e4f28111d9b7bd5b0efcc1,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,8148270006805bb0,success,degraded,106,593c461b96d0380eb546925a0bba4b8028ca9159530d0d39a77fcd5f6ee836d3,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,90ee0ca82e6fb478,failed,failed,0,,malformed
into-0.0.4-off,947581ba533d3f5f,success,degraded,31,ec5528ad547abe4a200f90d43ca7e1d774b959531e98728a86cfdec619356b66,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,a030f0e57b0b0817,failed,failed,0,,malformed
into-0.0.4-off,b9c5e7d5d0a7ca0b,success,degraded,228,dfb3dd4f41857db7ff520ed3a61a4aa3cedd7d7ea7bc1ee05f44fb0ceea8b127,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,c6bc6dc8bedc0abe,success,degraded,127,584e3b1312b79ee26fd37843726e172a34f2f6c09b711aeb37bdc807025036a6,legacyOffice.doc.fieldInstructionSkipped
into-0.0.4-off,cb1d93f57fd5f91c,failed,failed,0,,malformed
into-0.0.4-off,d92533f86b007be0,success,degraded,211,173c202404c36ca1b9d5e06fbd17f55f7ae5ee129fec421d986444d447ff428e,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,eec0c67324ab43a5,failed,failed,0,,malformed
into-0.0.4-off,f62b82139cbb2fbb,success,degraded,509,a5f4a4cbcb07911e2e1ba6502d4ce4a841403dcb7354ccb3917c80d2ed8b996c,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,05b1de4b3e72ad58,success,degraded,218,59de0c615032c2944ea7f152bdb5f3bd0ecba2db9549a6ac6d04192b284ba1f0,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,0d6f74a1e8a19969,failed,failed,0,,encrypted
into-0.0.4-off,2f19bdee7f9de354,success,degraded,48,e099f30b44601beaf727415d8c5496cea376edd23208d78c09a452e5f85fac20,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,3e98288a1399e44e,success,degraded,262,80207258c728ad986a676744910e6c395579dfd5740675a5d38966b2b471c7fd,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,538bac340ab84aa5,success,degraded,9,2d4b7714eeee27fcd05a7b759e0133c4b8fe9130bbdc358cd6f608dd2635e5c9,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,53e0f7090533270e,success,degraded,144,238e97d849c5e0463baaf2a7cb228ca237ebbf0aad7da320d2d98b27b4193428,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,5538d2f4ae678bcc,success,degraded,218,3dd42a47bd0dade3b52331d5029ec32a22f52ab6217ebd4c123e297680fb10f5,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,638657cc5527a674,success,degraded,433,622e89dac82d6a12c050a47083061abee732d82046e3491166e713514d0ca54a,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,9b9f5a977c0e36af,success,degraded,585,6e994944de051ee07804381d8a813708c5e978958afa28423373775eab537122,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,9ef2fe6b5a7ef7b6,failed,failed,0,,malformed
into-0.0.4-off,bf42365fb82fb3cf,success,degraded,240,076df99a2d72112cee2131bd1b465f2624545bb120cb5965d99e497999a531c2,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,c74d39a37f24e173,success,degraded,1418,74cc04965caf7359eb8ada0323c5f4a749254eeb02a1685c2bfaafc8e3e5c53d,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,d8476059ff25aefd,success,degraded,74,6c1683e703f43dd88b87c48291a70ad77fdae58fc0aafdeb5c6a12139620d84a,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,da3de29a35a11bac,success,degraded,172,780c19dcc9a019cc82505a9f61934010ecf3737d7936cb99e06fb0dc75907768,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,de42e402930ee3bd,success,degraded,192,df5c4f7a0adc5ace11502a467387d0b5a826f598b8edc3629228a0356577e5d2,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,fdaa8f861a91b335,success,degraded,296,7340c1c982ee4a8b3090a6c3f4a1956aa0ee63202e65176d9235c38876b27612,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,00c5eecc2d21e5d0,success,degraded,781,a02da429d66b8ecdf971e8bb4c9316c501843e30dccec26df1556cf5e00b3928,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,048feaeddf0dd9ae,success,degraded,48,754c0a3ab50b304fbeea5e3e53a1ff24f0a1544ff0dcfa596a4b6527d9cf0bd8,legacyOffice.doc.imagePlacementRecovered
into-0.0.4-off,0efb3ac095e94d0e,failed,failed,0,,malformed
into-0.0.4-off,1603ae06505bb3d2,success,degraded,2187,97599f549776fdf95e3e3dbc4b126a9de1ddda2439756f5f6cedd83f31c1bfe9,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,2d344a423a81b1ed,failed,failed,0,,malformed
into-0.0.4-off,3839134f4a620f5e,failed,failed,0,,malformed
into-0.0.4-off,48ded90e42270294,success,degraded,720,fe44d22404467d7d8b60ceb7d51a7f13e516f5174567189ff12afa1f4831fb6e,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,5eae621afc613e82,failed,failed,0,,malformed
into-0.0.4-off,7b2f928cf48c625a,failed,failed,0,,malformed
into-0.0.4-off,7bc50f6702523e26,success,degraded,155,0dc39923b02d384eb04b293e6f539b3622985e001b9f390e6847b427f0bb1b18,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,806d838c845761b2,failed,failed,0,,malformed
into-0.0.4-off,839ed7b9584a70d8,failed,failed,0,,malformed
into-0.0.4-off,98d76b63ff3dc9b3,success,degraded,781,a02da429d66b8ecdf971e8bb4c9316c501843e30dccec26df1556cf5e00b3928,legacyOffice.doc.additionalStoriesSkipped
