tool,id,relativePath,extension,sha256,status,processingDurationMs,outputBytes,errorCode
into-0.0.4-off,135590f0bd2df9e2,data/simplified-chinese/public-web/zh-wikinews-recent-changes.atom,atom,333a614ffd9ef568c5a8ce56a730f86054a81aa209aa39d8eefb65c57a32f93c,success,1.0057,484,feed.html.parseRecovered
into-0.0.4-off,78f02f205f0cee24,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-news-module/src/test/resources/test-documents/testATOM.atom,atom,f5281a07ae3acd03629149c73461b94ac3de89520df7061d39b03c589cc6e9c2,success,0.296,293,
into-0.0.4-off,98c3e7e1af895a72,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-image-module/src/test/resources/test-documents/testBMP.bmp,bmp,38cf86894695693e9b2aef817ea0abc74b7e605f0c1d3993b07725838c840c67,success,0.5829,45,
into-0.0.4-off,10d68b26ee567c4b,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-integration-tests/src/test/resources/test-documents/test-columnar.csv,csv,37a7bb0f1306ccbf1a974f26855474ac986066db5f10bac9ff1894ab88d5d3b0,success,0.8157000000000001,1555,
into-0.0.4-off,5cf35c4c4c68bb8c,data/world-bank-wdi/WDIseries-time.csv,csv,8a0dc3204a25075d58fbfa1b856cf0cba1a82bb72d50cc0542672a5375923a57,success,2.1126,15214,
into-0.0.4-off,787b5ca7ef14a176,data/simplified-chinese/public-web/wikidata-china-cities.csv,csv,c3fdb9aafc8b5fc3532a6bae0fb4efe0cce1e507bf18bf24fcf3604f00da7f37,success,6.8763000000000005,44002,
into-0.0.4-off,829ad66828d10cde,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-integration-tests/src/test/resources/test-documents/testCSV.csv,csv,4e73e64a48d176abb8f697fa716bf52cd4d74b8a5ad5e62148923800140e1ef9,success,0.4532,424,
into-0.0.4-off,b8506ae94005fe35,data/world-bank-wdi/WDIcountry-series.csv,csv,bac1c8404e89dc8ef1488bdd60f7bad37b2040a8acc97bdd3067056e6257cc46,success,131.2382,1406091,
into-0.0.4-off,e387041f3e3d83cc,data/world-bank-wdi/WDICountry.csv,csv,51a28611df941dc10f6bcabcbb0e859ee5aae311f302b26561b5c4187cddce34,success,29.4738,164937,
into-0.0.4-off,e5753863c0a974ff,data/world-bank-wdi/WDISeries.csv,csv,33b1b3813921e63f3ba9df816298d1b06641855ebe988700e91bc8afa1cad077,success,230.1248,6057871,
into-0.0.4-off,0e402beda3aca811,data/world-bank-wdi/WDIfootnote.csv,csv,bb84c95ce40eb365fda65a5fcd799664f433e56dc89223ba35cb217c27a60d94,failed,,0,max_table_rows
into-0.0.4-off,a2b61fcdd11b3125,data/world-bank-wdi/WDICSV.csv,csv,2c576a0636caabc374afaf591fdfd3e9ff6b88c5656d246047057b992fc808f8,failed,,0,max_table_rows
into-0.0.4-off,09bfc946c0439d95,office/apache-poi/test-data/document/Word6_sections.doc,doc,2786192392dbd409db0ad80a955960e762f98d939608c282106cf8b8ec951a55,failed,,0,malformed
into-0.0.4-off,253e374836b58e05,office/apache-poi/test-data/hpsf/TestBug52117.doc,doc,39dc33af3d370cb9ad5f1742298c5d657e8ed65d4c2251e789a38172e51735ff,failed,,0,malformed
into-0.0.4-off,371d7bf4257c8cb4,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testWordPerfect_42.doc,doc,eaf0c297a08d0be2f9aca0a022136f2c3f5a8d4097c9e0d49bfb77b92690bb96,failed,,0,noConverter
into-0.0.4-off,565f4edb8b3fdfca,office/apache-poi/test-data/document/endingnote.doc,doc,f170880d7ff9820a56c252f14286dc99c1c658d8e157bacf0e5f0166d5a714be,success,0.31,66,legacyOffice.doc.additionalStoriesSkipped
into-0.0.4-off,59c1e6b04287a085,office/apache-poi/test-data/document/clusterfuzz-testcase-minimized-POIHWPFFuzzer-5418937293340672.doc,doc,eae552c7244ce5a67bd86184e624cbfe718de6f5d15ef107a0d2b4b597aab758,failed,,0,malformed
into-0.0.4-off,5b8752ca7b4ba0d4,office/apache-poi/test-data/document/Bug60942b.doc,doc,183379e7c855aeed2c496f1170e4e2bec16bfde9fddc49ae0fa14f765947430f,failed,,0,malformed
into-0.0.4-off,6c39431d946e796e,office/apache-poi/test-data/document/52117.doc,doc,39dc33af3d370cb9ad5f1742298c5d657e8ed65d4c2251e789a38172e51735ff,failed,,0,malformed
into-0.0.4-off,6cfde658b8521913,office/apache-poi/test-data/document/page-break-before.doc,doc,19ae2de07e16fce156316abcc30210415482e4ac20a21525ee6e53e3432ce1f5,success,0.1932,15,legacyOffice.doc.formattingPartiallyRecovered
into-0.0.4-off,6d67b1c5d3047aaa,office/apache-poi/test-data/document/clusterfuzz-testcase-minimized-POIHWPFFuzzer-5832867957309440.doc,doc,3aca848a143f1de8fa959f80ae7f4a5a4908db5d43beb3772dbc4da1a8b1d2de,failed,,0,malformed
into-0.0.4-off,7a4d74952752745a,office/apache-poi/test-data/document/Word6.doc,doc,58ea3347378e85e7c8d19ad64e74ad533b2f51b30f047594b434f380712f8b50,failed,,0,malformed
