tool,id,extension,scored,reason,textRecall,orderRecall,sectionRecall,tableRecallProxy,clean,qualityScore
into-0.0.4-off,135590f0bd2df9e2,atom,False,no-independent-text-reference,,,,,,
into-0.0.4-off,78f02f205f0cee24,atom,False,no-independent-text-reference,,,,,,
into-0.0.4-off,98c3e7e1af895a72,bmp,False,no-independent-text-reference,,,,,,
into-0.0.4-off,10d68b26ee567c4b,csv,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,5cf35c4c4c68bb8c,csv,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,787b5ca7ef14a176,csv,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,829ad66828d10cde,csv,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,b8506ae94005fe35,csv,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,e387041f3e3d83cc,csv,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,e5753863c0a974ff,csv,True,,1.0,1.0,1,1,1,100.0
into-0.0.4-off,0e402beda3aca811,csv,False,no-independent-text-reference,,,,,,
into-0.0.4-off,a2b61fcdd11b3125,csv,False,no-independent-text-reference,,,,,,
into-0.0.4-off,09bfc946c0439d95,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,253e374836b58e05,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,371d7bf4257c8cb4,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,565f4edb8b3fdfca,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,59c1e6b04287a085,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,5b8752ca7b4ba0d4,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,6c39431d946e796e,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,6cfde658b8521913,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,6d67b1c5d3047aaa,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,7a4d74952752745a,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,8547e08203660fdf,doc,False,no-independent-text-reference,,,,,,
