# Exact Cargo.lock approvals. Format: package<TAB>version<TAB>concluded SPDX license.
adler2	2.0.1	MIT
aho-corasick	1.1.5	MIT
anstream	1.0.0	MIT
anstyle	1.0.14	MIT
anstyle-parse	1.0.0	MIT
anstyle-query	1.1.5	MIT
anstyle-wincon	3.0.11	MIT
arbitrary	1.4.2	MIT
autocfg	1.5.1	MIT
base64	0.22.1	MIT
bitflags	2.13.1	MIT
block-buffer	0.10.4	MIT
bstr	1.13.1	MIT
bumpalo	3.20.3	MIT
cfg-if	1.0.4	MIT
chardetng	0.1.17	MIT
clap	4.6.6	MIT
clap_builder	4.6.6	MIT
clap_complete	4.6.9	MIT
clap_derive	4.6.4	MIT
clap_lex	1.1.0	MIT
colorchoice	1.0.5	MIT
cpufeatures	0.2.17	MIT
crc32fast	1.5.0	MIT
crossbeam-utils	0.8.22	MIT
crypto-common	0.1.7	MIT
derive_arbitrary	1.4.2	MIT
digest	0.10.7	MIT
directories	6.0.0	MIT
dirs-sys	0.5.0	MIT
displaydoc	0.2.7	MIT
equivalent	1.0.2	MIT
encoding_rs	0.8.35	MIT AND BSD-3-Clause
errno	0.3.14	MIT
fastrand	2.5.0	MIT
flate2	1.1.9	MIT
form_urlencoded	1.2.2	MIT
futures	0.3.34	MIT
futures-channel	0.3.34	MIT
futures-core	0.3.34	MIT
futures-executor	0.3.34	MIT
futures-io	0.3.34	MIT
futures-macro	0.3.34	MIT
futures-sink	0.3.34	MIT
futures-task	0.3.34	MIT
futures-util	0.3.34	MIT
generic-array	0.14.7	MIT
getrandom	0.2.17	MIT
getrandom	0.4.3	MIT
getopts	0.2.24	MIT
globset	0.4.20	MIT
hashbrown	0.17.1	MIT
heck	0.5.0	MIT
icu_collections	2.2.0	Unicode-3.0
icu_locale_core	2.2.0	Unicode-3.0
icu_normalizer	2.2.0	Unicode-3.0
icu_normalizer_data	2.2.0	Unicode-3.0
icu_properties	2.2.0	Unicode-3.0
icu_properties_data	2.2.0	Unicode-3.0
icu_provider	2.2.0	Unicode-3.0
idna	1.1.0	MIT
idna_adapter	1.2.2	MIT
indexmap	2.14.0	MIT
is_terminal_polyfill	1.70.2	MIT
itoa	1.0.18	MIT
libc	0.2.189	MIT
libloading	0.9.0	ISC
libredox	0.1.19	MIT
linux-raw-sys	0.12.1	MIT
litemap	0.8.2	Unicode-3.0
log	0.4.33	MIT
matrixmultiply	0.3.11	MIT
memchr	2.8.3	MIT
miniz_oxide	0.8.9	MIT
ndarray	0.17.2	MIT
num-complex	0.4.6	MIT
num-integer	0.1.47	MIT
num-traits	0.2.19	MIT
once_cell	1.21.4	MIT
once_cell_polyfill	1.70.2	MIT
option-ext	0.2.0	MPL-2.0
ort	2.0.0-rc.13	MIT
ort-sys	2.0.0-rc.13	MIT
percent-encoding	2.3.2	MIT
pin-project-lite	0.2.17	MIT
portable-atomic	1.15.0	MIT
portable-atomic-util	0.2.7	MIT
potential_utf	0.1.5	Unicode-3.0
proc-macro2	1.0.107	MIT
pulldown-cmark	0.13.4	MIT
pulldown-cmark-escape	0.11.0	MIT
quote	1.0.47	MIT
quick-xml	0.38.3	MIT
r-efi	6.0.0	MIT
rawpointer	0.2.1	MIT
redox_users	0.5.2	MIT
regex-automata	0.4.18	MIT
regex-syntax	0.8.11	MIT
rustix	1.1.4	MIT
serde	1.0.229	MIT
serde_core	1.0.229	MIT
serde_derive	1.0.229	MIT
serde_json	1.0.151	MIT
serde_spanned	1.1.1	MIT
sha2	0.10.9	MIT
simd-adler32	0.3.10	MIT
slab	0.4.12	MIT
smallvec	1.15.2	MIT
stable_deref_trait	1.2.1	MIT
strsim	0.11.1	MIT
syn	2.0.119	MIT
syn	3.0.3	MIT
synstructure	0.13.2	MIT
tempfile	3.27.0	MIT
thiserror	2.0.20	MIT
thiserror-impl	2.0.20	MIT
tinystr	0.8.3	Unicode-3.0
toml	0.9.12+spec-1.1.0	MIT
toml_datetime	0.7.5+spec-1.1.0	MIT
toml_parser	1.1.3+spec-1.1.0	MIT
toml_writer	1.1.2+spec-1.1.0	MIT
tracing	0.1.44	MIT
tracing-core	0.1.36	MIT
typenum	1.20.1	MIT
unicase	2.9.0	MIT
unicode-ident	1.0.24	MIT AND Unicode-3.0
unicode-width	0.2.2	MIT
url	2.5.8	MIT
utf8_iter	1.0.4	MIT
utf8parse	0.2.2	MIT
version_check	0.9.5	MIT
wasi	0.11.1+wasi-snapshot-preview1	MIT
winapi-util	0.1.11	MIT
windows-link	0.2.1	MIT
windows-sys	0.61.2	MIT
winnow	0.7.15	MIT
winnow	1.0.4	MIT
writeable	0.6.3	Unicode-3.0
yoke	0.8.3	Unicode-3.0
yoke-derive	0.8.2	Unicode-3.0
zerofrom	0.1.8	Unicode-3.0
zerofrom-derive	0.1.7	Unicode-3.0
zerotrie	0.2.4	Unicode-3.0
zerovec	0.11.6	Unicode-3.0
zerovec-derive	0.11.3	Unicode-3.0
zip	2.4.2	MIT
zmij	1.0.23	MIT
zopfli	0.8.3	Apache-2.0
